number_threads,secs_comp,secs_com,secs_total,gflops,triangles
1,3379.86,0.381637,3380.24,0.00297742,373810
2,2017.85,0.228457,2018.08,0.0049871,373810
4,714.437,0.282039,714.719,0.0140816,373810
8,362.083,0.323638,362.406,0.027771,373810
16,187.229,0.267221,187.496,0.0536778,373810
32,115.772,0.308568,116.081,0.0867014,373810
64,118.76,0.253008,119.013,0.0845651,373810
